Month,Year,Average Gas Price
Jan,2000,1.28
Feb,2000,1.37
Mar,2000,1.5
Apr,2000,1.44
May,2000,1.46
Jun,2000,1.61
Jul,2000,1.53
Aug,2000,1.44
Sep,2000,1.53
Oct,2000,1.51
Nov,2000,1.49
Dec,2000,1.42
Jan,2001,1.43
Feb,2001,1.43
Mar,2001,1.38
Apr,2001,1.52
May,2001,1.65
Jun,2001,1.55
Jul,2001,1.34
Aug,2001,1.39
Sep,2001,1.51
Oct,2001,1.27
Nov,2001,1.14
Dec,2001,1.07
Jan,2002,1.09
Feb,2002,1.09
Mar,2002,1.22
Apr,2002,1.36
May,2002,1.35
Jun,2002,1.34
Jul,2002,1.36
Aug,2002,1.36
Sep,2002,1.36
Oct,2002,1.43
Nov,2002,1.38
Dec,2002,1.35
Jan,2003,1.42
Feb,2003,1.58
Mar,2003,1.64
Apr,2003,1.52
May,2003,1.44
Jun,2003,1.45
Jul,2003,1.48
Aug,2003,1.59
Sep,2003,1.62
Oct,2003,1.51
Nov,2003,1.47
Dec,2003,1.45
Jan,2004,1.55
Feb,2004,1.61
Mar,2004,1.69
Apr,2004,1.76
May,2004,1.94
Jun,2004,1.91
Jul,2004,1.86
Aug,2004,1.84
Sep,2004,1.84
Oct,2004,1.95
Nov,2004,1.93
Dec,2004,1.8
Jan,2005,1.81
Feb,2005,1.89
Mar,2005,2.06
Apr,2005,2.21
May,2005,2.11
Jun,2005,2.12
Jul,2005,2.25
Aug,2005,2.45
Sep,2005,2.86
Oct,2005,2.69
Nov,2005,2.22
Dec,2005,2.17
Jan,2006,2.3
Feb,2006,2.25
Mar,2006,2.41
Apr,2006,2.72
May,2006,2.83
Jun,2006,2.81
Jul,2006,2.92
Aug,2006,2.91
Sep,2006,2.5
Oct,2006,2.21
Nov,2006,2.21
Dec,2006,2.28
Jan,2007,2.19
Feb,2007,2.23
Mar,2007,2.5
Apr,2007,2.79
May,2007,3.12
Jun,2007,3.02
Jul,2007,2.95
Aug,2007,2.78
Sep,2007,2.82
Oct,2007,2.79
Nov,2007,3.06
Dec,2007,2.98
Jan,2008,3.02
Feb,2008,3.02
Mar,2008,3.22
Apr,2008,3.42
May,2008,3.74
